编号,模式,场景,输入内容,A1自然度,A2长度控制,A3语气词,A4情绪适配,A5人设一致,B1意图识别,B2关键信息召回,B3修正理解,B4澄清得当,B5上下文保持,C1可听读性,C2首句结论,C3切分合理,C4数字播报,D1重复一致性,D2版本回归,维度A口语化,维度B任务,维度C渠道,维度D稳定,总分,缺陷备注
1,chat,早安问候,年年，早上好呀，今天咱有啥安排不？,,,,,,,,,,,,,,,,,,,,
2,chat,情绪倾诉（累）,哎……今天加班到十点，累成狗了，你陪我说说话呗,,,,,,,,,,,,,,,,,,,,
3,chat,撒娇互动,年年年年！你说我是不是全天下最可爱的人呀？嘿嘿,,,,,,,,,,,,,,,,,,,,
4,chat,饭点闲聊/给选择,中午了，吃啥啊？火锅还是烧烤，纠结死了都,,,,,,,,,,,,,,,,,,,,
5,chat,无聊找乐子,好无聊啊……你给我讲个笑话呗，要短的那种,,,,,,,,,,,,,,,,,,,,
6,chat,多轮·记忆衔接,上文：「我后天有个面试」→ 今天：「年年，我明天要不要提前去踩点啊？」,,,,,,,,,,,,,,,,,,,,
7,chat,抛偏好（怕冷）,我特别怕冷，一到冬天手都是冰的，脚也凉凉的,,,,,,,,,,,,,,,,,,,,
8,chat,条件判断（天气）,今天外面天气咋样？下雨的话我就不出门了哈,,,,,,,,,,,,,,,,,,,,
9,chat,闹钟+自我修正,帮我定个明早七点的闹钟——哦不对，七点半吧，我怕起不来,,,,,,,,,,,,,,,,,,,,
10,work,定时提醒（亲情）,下周三是我妈生日，你到了那天提醒我一声，别忘了哈,,,,,,,,,,,,,,,,,,,,
11,work,多步计算,帮我算算账：工资六千，房租一千五，吃饭两千，还剩多少？,,,,,,,,,,,,,,,,,,,,
12,work,搜索+条件过滤,帮我搜下现在最火的降噪耳机，别太贵，性价比高的那种,,,,,,,,,,,,,,,,,,,,
13,work,多任务指令,等我出门的时候，提醒我带钥匙；再把明天早上九点的会改成十点,,,,,,,,,,,,,,,,,,,,
14,chat,指代模糊（该澄清）,把我昨天说的那个东西发我一下呗,,,,,,,,,,,,,,,,,,,,
15,work,条件模糊（需追问）,帮我约个医生，越快越好，最好是周末的,,,,,,,,,,,,,,,,,,,,
16,work,时间模糊（过两天）,过两天出差，帮我订个酒店，别太贵的,,,,,,,,,,,,,,,,,,,,
17,chat,口语压测·省主语,下雨了，伞没带，咋整啊？,,,,,,,,,,,,,,,,,,,,
18,chat,中英混说,帮我推荐几个 productivity 类的 app 呗,,,,,,,,,,,,,,,,,,,,
19,work,口误纠正,帮我订后天去北京的票——说错了，是明天的,,,,,,,,,,,,,,,,,,,,
20,chat,话题急转（打断式切换）,算了算了，不聊这个了。现在几点了？,,,,,,,,,,,,,,,,,,,,
